domanda;risp_A;risp_B;risp_C;risp_corretta;pti
"La scheda di dati di sicurezza di un prodotto fitosanitario può essere consegnata su supporto magnetico o per via elettronica?";"Sì, ma solo se si dichiara di essere in possesso di un computer o di essere collegati a internet";"No, la scheda di dati di sicurezza deve essere consegnata sempre a mano in fotocopia cartacea";"No, la scheda di dati di sicurezza deve essere consegnata sempre a mano in originale";"A";"2"
"Gli insetti e gli acari presenti sulle colture, sono tutti dannosi?";"No, perché molti sono predatori e parassiti di organismi nocivi";"Sì, specialmente su alcune coltivazioni agricole";"No, se sono ormai diventati adulti";"A";"1"
"In quale gruppo si deve scegliere il prodotto da utilizzare per combattere gli afidi dannosi alle colture?";"Insetticidi";"Fungicidi";"Acaricidi";"A";"3"
"Le tecniche di lotta biologica possono essere utilizzate solo in agricoltura biologica?";"Sì, perché lotta e agricoltura biologica sono la stessa cosa";"Sì, poiché bisogna aderire ad un regolamento comunitario specifico";"No, anche al di fuori del contesto dell’agricoltura biologica";"C";"2"
"Cosa si intende per difesa integrata?";"L’uso congiunto e razionale di mezzi agronomici, fisici, biologici e chimici";"L’utilizzo di trattori a trazione integrale per l’effettuazione di trattamenti";"L’insieme integrato di anticrittogamici ed insetticidi";"A";"3"
"Cosa sono i trattamenti a calendario?";"Quelli consigliati sui lunari";"Quelli effettuati a scopo cautelativo a date fisse uguali ogni anno";"Quelli effettuati a scopo cautelativo in momenti prestabiliti senza tenere conto della presenza del parassita";"C";"2"
"Cosa si intende per lotta biologica?";"L’uso esclusivo dei fattori naturali che limitano l’azione degli agenti nocivi per le colture";"L’uso di prodotti fitosanitari biologici secondo calendari predisposti";"L’uso di fitosanitari di sintesi in tempi e modi stabiliti in base al grado di infestazione e alle condizioni meteorologiche";"A";"1"
"Quali prodotti fitosanitari possono essere usati per la produzione biologica?";"Nessuno";"Solo quelli definiti “biologici”";"Solo quelli previsti da una apposita normativa";"C";"3"
"Nelle macchine irroratrici ad alto volume la quantità di prodotto da irrorare per ettaro, rispetto a quelle a basso volume, è...";"maggiore";"minore";"circa uguale";"C";"1"
"La taratura e il controllo funzionale delle macchine irroratrici sono necessarie per:";"eseguire meno trattamenti";"ridurre i tempi necessari per i trattamenti";"ridurre le perdite di prodotti fitosanitari nell’ambiente";"C";"3"
"Ai fini della sicurezza individuale è più pericoloso utilizzare una irroratrice...";"trainata";"a spalla";"portata";"C";"2"
"La tracimazione della miscela di prodotto fitosanitario dall’attrezzatura utilizzata per effettuare il trattamento è da evitare?";"No, purché avvenga sulla coltura da trattare";"Sì, sempre";"Sì, se si tratta di prodotti pericolosi per l’ambiente acquatico";"B";"3"
"Può una coltura diventare un’infestante per la coltura che segue?";"Sì, sempre";"No, mai";"Sì, è possibile";"C";"1"
"Qual è un possibile mezzo di previsione delle infezioni fungine utile a valutare la necessità di trattamenti?";"Il controllo dei parametri meteorologici";"Non esistono mezzi adatti";"Il controllo del colore delle foglie";"A";"3"
"Cosa può provocare la pratica della monocoltura con impiego di prodotti fitosanitari?";"L’accumulo nel terreno di sostanze attive ed il selezionarsi di organismi dannosi alle colture resistenti ai prodotti fitosanitari";"L’accumulo di sostanza organica nel terreno e la specializzazione della micro fauna terricola";"Il peggioramento della struttura del terreno";"A";"3"
"E’ corretto eseguire i trattamenti fitosanitari a calendario seguendo le fasi fenologiche?";"Sì, perché si è sicuri di colpire in tempo l’avversità da combattere";"No, perché non si è certi che l’avversità sia realmente presente o abbia raggiunto un livello di dannosità per la coltura";"Sì, solo se si usano prodotti fungicidi";"B";"3"
"I nematodi fitoparassiti possono trasmettere virosi?";"Sì, sempre";"No, mai";"Solo alcune specie sono in grado di trasmettere determinati virus";"C";"1"
"Il controllo funzionale delle attrezzature deve essere eseguito";"dall’agricoltore";"in una qualsiasi officina meccanica";"presso Centri riconosciuti dalle Regioni da parte di tecnici abilitati";"C";"3"
"Qual è l’operazione più corretta per contrastare la comparsa di resistenza ad un sostanza attiva?";"Alternare l’utilizzo con un’altra sostanza attiva con diverso meccanismo di azione";"Aumentare il dosaggio della stessa sostanza attiva riducendo il numero di trattamenti";"Aumentare il numero degli interventi riducendo la quantità di sostanza attiva usata per ogni trattamento";"A";"3"
"Quale deve essere il comportamento nel caso in cui le confezioni presenti nel locale adibito a magazzino dei prodotti fitosanitari si rompano e fuoriescano quantità anche minime di prodotto fitosanitario?";"Occorre lavare la superficie imbrattata con acqua e convogliare il residuo nella fognatura per evitare l’inquinamento ambientale";"Occorre pulire le superfici imbrattate, raccogliere il prodotto, se liquido, con materiale assorbente quale segatura o sabbia per impedire che il prodotto finisca nella fognatura e smaltire il rifiuto secondo le norme vigenti";"Occorre intervenire provvedendo ad asciugare la superficie con una spugna o con uno strofinaccio";"B";"3"
"Per stemperare il formulato è meglio utilizzare";"sempre lo stesso recipiente";"un recipiente diverso per ciascun tipo di prodotto";"un dispositivo pre-miscelatore";"C";"1"
"Com’è giusto che sia il serbatoio della macchina irroratrice?";"Con pareti interne lisce, con spigoli e con agitatore";"Con pareti interne lisce, senza spigoli e con agitatore";"Con pareti interne ruvide, senza spigoli e con agitatore";"B";"2"
"Se durante la distribuzione di un prodotto fitosanitario con barra irroratrice l’altezza di lavoro della barra stessa è piuttosto elevata si hanno:";"eccessive sovrapposizioni dei getti";"corrette sovrapposizioni dei getti";"zone non trattate";"A";"3"
"Quando l’altezza di lavoro della barra irroratrice è troppo vicina al suolo si hanno:";"eccessive sovrapposizioni dei getti";"corrette sovrapposizioni dei getti";"zone non trattate";"C";"3"
"Cosa accade quando il volume di distribuzione è troppo elevato?";"Gocciolamento a terra del prodotto";"Dispersione in atmosfera del prodotto a causa delle gocce troppo piccole";"Buona diluizione della sostanza attiva e ripartizione uniforme su grandi superfici";"A";"3"
"Con temperature alte e umidità relativa bassa si deve assolutamente evitare:";"l’applicazione di alti volumi di distribuzione";"l’applicazione di medi volumi di distribuzione";"l’applicazione di bassi volumi di distribuzione";"C";"2"
"Quali di questi controlli rientrano tra quelli relativi al controllo funzionale delle macchine irroratrici?";"Pulizia dei filtri, controllo e pulizia degli ugelli, controllo della pressione dei pneumatici";"Lubrificazione degli snodi, controllo del regolatore di pressione, controllo dell’anemometro";"Controllo della portata, del manometro, dell’impianto idraulico, dell’assetto delle barre";"C";"2"
"Qual è lo scopo della taratura delle macchine?";"Adattare l’irroratrice alla coltura da trattare ed alla sua fase vegetativa";"Verificare che la distribuzione del prodotto fitosanitario sia effettuata nel momento corretto";"Verificare i parametri di uniformità, funzionalità e tenuta dei diversi componenti della macchina";"A";"3"
"Il controllo funzionale, la regolazione e la manutenzione delle macchine irroratrici sono necessarie per:";"fare meno trattamenti poiché aumenta notevolmente l’efficienza dell’attrezzatura";"ridurre i tempi necessari per i trattamenti poiché si utilizzano minori quantità d’acqua, avendo la possibilità di operare a più bassi volumi";"ridurre gli effetti negativi sulla salute e l’ambiente e migliorare l'efficacia dei trattamenti";"C";"3"
"Alcuni prodotti fitosanitari possono essere impiegati per trattamenti di zone non agricole?";"Sì, basta che sia indicata l'avversità da trattare";"No, mai";"Solo quando è specificamente indicato in etichetta";"C";"1"
"Cosa sono i prodotti fitosanitari pronti all’impiego?";"Sono tutti i prodotti preparati e confezionati pronti per l’uso";"Sono esclusivamente i prodotti che si possono acquistare senza certificato per utilizzatore professionale";"Sono prodotti che non richiedono l’utilizzo di DPI";"A";"1"
"Che azione svolge un prodotto fungicida di copertura?";"Preventiva: impedisce lo sviluppo dell’infezione";"Curativa: consente di combattere la malattia durante l’incubazione";"Eradicante: blocca lo sviluppo di infezioni già manifeste";"A";"2"
"Un prodotto aficida può essere impiegato su qualsiasi coltura per la lotta contro gli afidi?";"Sì, se l’infestazione è molto elevata";"No, solo sulle colture indicate in etichetta";"Sì, in quanto è un prodotto specifico";"B";"3"
"Quando vengono miscelati due o più prodotti fitosanitari con intervalli di sicurezza diversi, dopo quanti giorni si può effettuare la raccolta?";"Dopo il numero di giorni indicati sul prodotto con l’intervallo di sicurezza più lungo";"Dopo il numero di giorni indicati per il prodotto più tossico";"Dopo un numero di giorni derivanti dalla somma dell’intervallo di sicurezza dei prodotti miscelati";"A";"3"
"L’intervallo di sicurezza di un prodotto fitosanitario varia se viene diminuita la concentrazione d’impiego?";"No, non subisce nessuna variazione";"Sì, diminuisce proporzionalmente alle concentrazioni";"Sì, diminuisce riducendo la quantità di acqua impiegata";"A";"3"
"Il lavaggio o la conservazione dei prodotti ortofrutticoli successivi alla raccolta modificano l’intervallo di sicurezza di un prodotto fitosanitario applicato in campo?";"Sì, l’intervallo di sicurezza viene annullato";"No, rimane inalterato l’intervallo di sicurezza";"Sì, l’intervallo di sicurezza viene ridotto se il lavaggio è effettuato subito dopo la raccolta";"B";"3"
"Nel caso di vegetali destinati alla trasformazione industriale, surgelati o conservati, si deve o no tenere conto dell’intervallo di sicurezza?";"No, se i prodotti vengono lavati con cura immediatamente dopo la raccolta";"Sì, si deve tener conto";"No, non si deve tener conto perché il prodotto è consumato dopo un certo intervallo di tempo";"B";"2"
"La deriva del prodotto fitosanitario è un fenomeno ….";"da evitare perché causa perdita di prodotto e inquinamento di aree limitrofe con pericolo per la salute e l’ambiente";"da non considerare in giornate assolate perché in genere i prodotti fitosanitari si degradano rapidamente con la luce solare";"favorevole perché garantisce un’ottimale copertura della vegetazione";"A";"3"
"Un prodotto fitosanitario concentrato può essere impiegato tal quale?";"Sì, sempre";"No, mai";"Sì, se indicato in etichetta";"C";"2"
"Che cosa bisogna fare delle sementi conciate e avanzate dalla semina?";"Sottoporle a lavaggio e destinarle all’alimentazione animale";"Generalmente considerarle rifiuti “speciali” e smaltirle secondo quanto stabilito dalle normative nazionali e locali";"Bruciarle nella confezione originale";"B";"2"
"Le formulazioni in granuli di prodotti fitosanitari possono essere maneggiate a mani nude?";"Sì, se sono biologiche";"No";"Solamente se c’è a disposizione acqua per lavarsi";"B";"2"
"Con i prodotti fitosanitari a base di insetticidi possono essere trattati gli animali da allevamento?";"Solamente se non somministrati con gli alimenti";"No, mai";"Sì, ma devono restare separati dagli altri animali e non possono essere commercializzati i prodotti derivanti dal loro allevamento per almeno 15 giorni";"B";"2"
"Effettuato il trattamento di un frutteto con un formulato che non riporta indicazioni sul tempo di rientro, quanto tempo è buona norma attendere prima di poter procedere al diradamento nel frutteto stesso in assenza di opportuni dispositivi di protezione Individuale (DPI)?";"Almeno 72 ore";"Almeno 48 ore";"Almeno 60 ore";"B";"3"
"Se si rende necessario eseguire un trattamento in prossimità della raccolta, quale tipo di prodotto fitosanitario occorre impiegare?";"Un prodotto fitosanitario con un tempo di rientro inferiore all'intervallo che intercorre fra il trattamento e la commercializzazione del prodotto";"Un prodotto fitosanitario con un intervallo di sicurezza inferiore all'intervallo che intercorre fra il trattamento e la raccolta del prodotto";"Un prodotto fitosanitario autorizzato in agricoltura biologica purché il prodotto raccolto venga lavato accuratamente prima della vendita";"B";"3"
"E’ possibile impiegare prodotti fitosanitari per scopi diversi da quelli indicati in etichetta?";"No";"Sì, basta che sia riportata la coltura che si vuole trattare";"Sì, basta sia riportata l’avversità che si vuole combattere";"A";"3"
"Come devono essere conservati i prodotti fitosanitari?";"È sufficiente che siano tenuti separati da sostanze alimentari o mangimi";"In un luogo appartato nell’abitazione dell’utilizzatore professionale";"In appositi locali o in appositi armadi ambedue da tenere chiusi a chiave";"C";"3"
"E’ possibile miscelare prodotti fitosanitari diversi?";"Sì, previa consultazione delle indicazioni di compatibilità in etichetta";"Sì, solo nel caso abbiano il medesimo meccanismo d’azione";"No, mai";"A";"3"
"Un prodotto fitosanitario può essere impiegato su qualsiasi coltura?";"Sì, basta che sia riportata l’avversità che si vuole combattere";"No, solo per le colture indicate in etichetta";"Può essere impiegato per altre colture solamente dopo aver ottenuto l’autorizzazione da parte del Settore Fitosanitario regionale.";"B";"3"
"I prodotti fitosanitari possono essere prestati ad altre persone?";"No, in nessun caso";"Solamente se si è certi che il loro impiego avvenga in modo corretto";"Sì, se queste persone sono in possesso del certificato";"A";"3"
"Che cosa si intende per selettività di un insetticida?";"la capacità di agire sugli insetti nocivi pur essendo di bassa tossicità per l’uomo";"la capacità di eliminare tutti gli insetti presenti nella coltura";"la capacità di eliminare gli insetti nocivi rispettando il più possibile gli insetti utili";"C";"2"
"Non rispettare l’epoca di intervento riportata sull’etichetta di un diserbante può dar luogo a:";"nessun danno perché i diserbanti vengono applicati solo in presemina";"danni consistenti alla coltura";"danni consistenti solo se si interviene dopo una pioggia";"B";"1"
"L’uso ripetuto di erbicidi con lo stesso principio attivo può dar luogo:";"a fenomeni di fitotossicità";"alla selezione di malerbe resistenti agli erbicidi impiegati";"al mal funzionamento della barra irroratrice";"B";"3"
"Quando un erbicida è selettivo?";"Quando solo le piante infestanti sono danneggiate mentre la coltura non risente del trattamento";"Quando solo la coltura è danneggiata mentre le erbe infestanti sono risparmiate";"Quando sia la coltura che le erbe infestanti vengono danneggiate dal trattamento";"A";"2"
"Cosa si intende per organismi non bersaglio?";"Tutti gli organismi non oggetto del trattamento che possono subire, in modo diretto o indiretto, qualsiasi forma di condizionamento a seguito della distribuzione del prodotto fitosanitario";"Tutti gli organismi che muoiono a seguito della distribuzione del prodotto fitosanitario";"Tutti gli organismi presenti nei corpi idrici";"A";"1"
"Prima di miscelare due prodotti fitosanitari per un trattamento bisogna:";"leggere attentamente la voce “compatibilità” sulle due etichette";"preparare due soluzioni distinte e poi unirle";"preparare una dose doppia di acqua perché i prodotti sono due";"A";"2"
"Un prodotto registrato contro la peronospora della vite può essere utilizzato contro la peronospora della patata?";"Sì, in quanto è un prodotto specifico contro la peronospora";"Sì, anche se si tratta di una coltura frutticola e una orticola";"Solo se riporta in etichetta anche la patata come coltura autorizzata";"C";"3"
"L’intervallo di sicurezza di un prodotto fitosanitario varia se viene diminuita la dose di impiego?";"Non varia";"Diminuisce se si riduce anche la quantità di acqua impiegata";"Diminuisce proporzionalmente alle concentrazioni";"A";"1"
"Dovendo fare un trattamento su colture ortive a raccolta scalare";"bisogna rispettare l’intervallo di sicurezza per tutte le raccolte";"non bisogna rispettare l’intervallo di sicurezza in quanto la raccolta è frazionata nel tempo";"bisogna rispettare l’intervallo di sicurezza soltanto per l’ultima raccolta";"A";"3"
"Se si effettuano trattamenti della frutta in post-raccolta prima di immetterla sul mercato è necessario";"rispettare l’intervallo di sicurezza";"pulirla meccanicamente";"effettuare gli opportuni lavaggi prima dell’immissione in commercio";"A";"2"
"Quando si effettuano trattamenti con prodotti fitosanitari da diluire è opportuno";"scaricare la soluzione avanzata in un campo non coltivato";"preparare il quantitativo di soluzione effettivamente necessario per il trattamento";"scaricare la soluzione avanzata nella fognatura evitando sversamenti";"B";"3"
"Quali fenomeni si possono riscontrare impiegando un erbicida a dose più alta di quella consigliata?";"Fitotossicità per la coltura";"Aumento della produzione, perché si eliminano tutte le infestanti";"Nessuno, se dato in pre-emergenza";"A";"2"
"Tutti i prodotti fitosanitari possono essere distribuiti nelle serre?";"Sì, basta che in etichetta siano riportate l'avversità e la coltura";"No, nelle serre è vietato l'uso di qualsiasi prodotto fitosanitario";"Sì, quelli nei quali è specificato in etichetta";"C";"3"
"L’indicazione riportata in una etichetta di un prodotto fitosanitario di una dose di 1,5 litri per ettaro equivale a :";"1,5 litri per 10 are di terreno";"1,5 litri per 1.000 metri quadrati di terreno";"0,75 litri per 5.000 metri quadrati di terreno";"C";"3"
"Nel caso che si debba trattare 9.000 metri quadrati di terreno e la dose prescitta in etichetta sia di un litro di prodotto fitosanitario per ettaro si dovrà preparare una soluzione utilizzando:";"0,09 litri di prodotto fitosanitario";"0,9 litri di prodotto fitosanitario";"9 litri di prodotto fitosanitario";"B";"3"
"Passando da un’attrezzatura a volume normale ad una a basso volume la dose di prodotto fitosanitario per ettaro indicata in etichetta deve cambiare?";"No";"Si";"Dipende dal prodotto";"A";"2"
